Company Name,Location,Description,Batch,Company URL,Website,Founder Details
Font Awesome,"Bentonville, AR, USA",Icons and social logos for your website.,S15,https://ycombinator.com/companies/font-awesome,http://fontawesome.com,"[{""name"":""Dave Gandy"",""role"":""CEO"",""biography"":""I make Font Awesome and other things. YC S15, MIT Course 2, MO, MA alum. Journey before pancakes."",""twitter"":""http://twitter.com/davegandy"",""linkedin"":""https://linkedin.com/in/davegandy""},{""name"":""Travis Chase"",""role"":""Travis Chase"",""biography"":"""",""twitter"":""http://www.twitter.com/supercodepoet"",""linkedin"":""http://www.linkedin.com/in/supercodepoet""}]"
"80,000 Hours","London, England, United Kingdom",An online guide that tells talented graduates how to maximise the…,S15,https://ycombinator.com/companies/80-000-hours,http://80000hours.org,"[{""name"":""Benjamin Todd"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://uk.linkedin.com/pub/benjamin-todd/63/66b/b58/""},{""name"":""Benjamin Todd"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://uk.linkedin.com/pub/benjamin-todd/63/66b/b58/""}]"
Shred Video,"San Francisco, CA, USA",Shred Video builds automated video & photo systems that allow…,S15,https://ycombinator.com/companies/shred-video,https://shredvideo.com,"[{""name"":""Mike Allen"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""www.linkedin.com/pub/michael-allen/7/511/9a1/en""},{""name"":""Mike Allen"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""www.linkedin.com/pub/michael-allen/7/511/9a1/en""}]"
Shape (ShapeScale),"San Francisco, CA, USA",ShapeScale is a personal 3D scanner and fitness tracker that…,S15,https://ycombinator.com/companies/shape-shapescale,https://shapescale.com,"[{""name"":""Alexandre Wayenberg"",""role"":""CEO"",""biography"":"""",""twitter"":null,""linkedin"":""http://www.linkedin.com/in/awayenberg""},{""name"":""Martin Kessler"",""role"":""COO"",""biography"":""I'm into D2C, growth marketing, recruiting, hardware, and fitness."",""twitter"":""https://twitter.com/kesslerio"",""linkedin"":""https://www.linkedin.com/in/martinkessler""}]"
MicroHealth,"New York, NY, USA",Digital hematology,S15,https://ycombinator.com/companies/microhealth,http://microhealth.com,"[{""name"":""Miguel Lara"",""role"":""CEO"",""biography"":""● 10+ years as Digital Health startup CEO\n● Deep relationships across the biopharma ecosystem\n● 10+ years as Managing Director (healthcare) at global bank\n● Y Combinator (YC_S15) alumni"",""twitter"":null,""linkedin"":""http://linkedin.com/in/mlara1/en""},{""name"":""Marc Lara"",""role"":""Marc Lara"",""biography"":""Expert indigital health, including:\n- Launching products for new therapeutic areas \n- Improving health outcomes\n- Clinical and HEOR studies\n- Domestic and global deployments \n- Predictive AI for medical and commercial goals"",""twitter"":null,""linkedin"":""linkedin.com/mlaranyc""}]"
Markhor,"San Francisco, CA, USA",Markhor is a DTC company that works with craftsmen to make shoes and…,S15,https://ycombinator.com/companies/markhor,http://markhor.com,"[{""name"":""Sidra Qasim"",""role"":""Sidra Qasim"",""biography"":""co-founder & CEO of @atoms, previously @markhor\nMom. Startup investor in Buzzer, AirSchool, AimFit, WorkOS, etc. Passionate about building great products."",""twitter"":""https://twitter.com/sidraqasim"",""linkedin"":""http://linkedin.com/in/sidraqasim""},{""name"":""Waqas Ali"",""role"":""Waqas Ali"",""biography"":"""",""twitter"":""http://twitter.com/waqasali"",""linkedin"":""http://linkedin.com/in/waqasaday""}]"
Clerky,"Palo Alto, CA, USA",Makes legal paperwork easy for startups and their attorneys.,S11,https://ycombinator.com/companies/clerky,https://www.clerky.com,"[{""name"":""Darby Wong"",""role"":""CEO"",""biography"":""I'm a co-founder and the CEO of Clerky. I was a startup attorney at Orrick Herrington & Sutcliffe LLP and have a law degree from Harvard Law School. Prior to law school, I majored in computer science at the University of Washington, where I worked on machine learning research."",""twitter"":""https://twitter.com/darbyw"",""linkedin"":""https://www.linkedin.com/in/darbywong/""},{""name"":""Chris Field"",""role"":""Chris Field"",""biography"":""I'm a co-founder of Clerky. I was a startup attorney at Orrick, Herrington & Sutcliffe LLP. Before becoming an attorney, I worked in various management and operations roles at TippingPoint Technologies and Micron Electronics. I studied electrical engineering and history at Stanford University and I studied law at the University of Pennsylvania."",""twitter"":null,""linkedin"":""https://www.linkedin.com/in/fieldchris""}]"
Bodyport,"San Francisco, CA, USA",Predicting and preventing heart disease.,S15,https://ycombinator.com/companies/bodyport,http://bodyport.com,"[{""name"":""Corey Centen"",""role"":""CEO  "",""biography"":null,""twitter"":""http://twitter.com/bodyport"",""linkedin"":""http://ca.linkedin.com/in/coreycenten/""},{""name"":""Corey Centen"",""role"":""CEO  "",""biography"":null,""twitter"":""http://twitter.com/bodyport"",""linkedin"":""http://ca.linkedin.com/in/coreycenten/""}]"
Verge Genomics,"San Francisco, CA, USA",We use human data and AI to develop better drugs faster.,S15,https://ycombinator.com/companies/verge-genomics,http://vergegenomics.com,"[{""name"":""Alice Zhang"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/alice-zhang-2087862b/""},{""name"":""Alice Zhang"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/alice-zhang-2087862b/""}]"
Thrive Agritech,"New York, NY, USA",We design and manufacture energy efficient LED lighting fixtures for…,S15,https://ycombinator.com/companies/thrive-agritech,http://www.thriveagritech.com,"[{""name"":""Brian Bennett"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/profile/view?id=33089925&trk=nav_responsive_tab_profile""},{""name"":""Brian Bennett"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/profile/view?id=33089925&trk=nav_responsive_tab_profile""}]"
AgileMD,"San Francisco, CA, USA",Predictive analytics and clinical pathways for hospitals,S11,https://ycombinator.com/companies/agilemd,https://agilemd.com,"[{""name"":""Borna Safabakhsh"",""role"":""CEO"",""biography"":""Borna is the co-founder and CEO of AgileMD, a digital health startup reinventing how clinical predictive analytics and decision support help physicians at the bedside.  Borna has an MBA from Chicago Booth, where he was recognized as Most Promising Entrepreneur by the University of Chicago and 50 for the Future by the Illinois Technology Foundation.\n\nAgileMD’s clinical tools are used at over 81 hospitals and individually in use by over 65,000 healthcare providers to deliver high-quality care."",""twitter"":null,""linkedin"":""https://www.linkedin.com/in/bornas/""}]"
Reach Labs,"Emeryville, CA, USA","Long range, wireless energy distribution that scales",S15,https://ycombinator.com/companies/reach-labs,https://reachlabs.co/,"[{""name"":""Christopher Davlantes"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/chrisdavlantes/en""},{""name"":""Christopher Davlantes"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/in/chrisdavlantes/en""}]"
SunFarmer,"Kathmandu, Central Development Region, Nepal",Reliable and affordable solar energy in developing countries.,S15,https://ycombinator.com/companies/sunfarmer,http://sunfarmer.org,"[{""name"":""Andy Moon"",""role"":""Andy Moon"",""biography"":""Co-Founder and CEO of Reunion, renewable energy finance platform /\nCo-Founder and Board member at SunFarmer /\nRaised over $200M in debt and equity to fund solar energy projects / \nInvestor in a few awesome early stage companies including Chronosphere"",""twitter"":""https://twitter.com/andymoonsun"",""linkedin"":""https://www.linkedin.com/in/andymoonfuture/""},{""name"":""Jason Gray"",""role"":""Jason Gray"",""biography"":""Presently, Founder and Managing General Partner of Pioneer Fund. \nPreviously, Co-Founder of SunFarmer, a solar energy company.   \nPrior to that, Jason held various roles in finance, energy, and agriculture, including as General Manager and Vice President of  SunEdison.  In this role, he established the company’s Canadian division, building it to $250M in annual revenue and managed over $500M in debt in equity."",""twitter"":""https://twitter.com/jasondgray"",""linkedin"":""https://www.linkedin.com/in/jasondgray/""}]"
Confident LIMS,"Palo Alto, CA, USA",Laboratory Information Management System (LIMS) serving…,S15,https://ycombinator.com/companies/confident-lims,https://confidentlims.com,"[{""name"":""Steve Albarran"",""role"":""CEO"",""biography"":""Steve is the CEO and Co-Founder of Confident LIMS, the leading laboratory information management system for quality assurance labs in highly-regulated industries in North America. Prior to founding Confident, Steve founded Left Lane Capital Partners, a growth equity investment firm focused on the health & wellness industry. Previously, Steve was an M&A investment banker at Sawaya Partners and Lehman Brothers in New York City."",""twitter"":null,""linkedin"":""https://www.linkedin.com/in/steve-albarran/""}]"
